taxon_id,scientific_name,n_photos
127730,Andricus lignicola,507
504552,Neuroterus anthracinus,503
141731,Rhyparochromus vulgaris,502
128264,Anthrenus scrophulariae,502
455182,Rhopalapion longirostre,502
70118,Nicrophorus vespilloides,502
130166,Carabus glabratus,502
131076,Dermestes lardarius,502
466581,Paracorymbia maculicornis,501
532814,Adelphocoris quadripunctatus,501
52436,Stenurella melanura,501
56557,Notonecta,501
131091,Harmonia quadripunctata,501
84640,Polistes dominula,501
60834,Glaucopsyche alexis,501
126088,Cameraria ohridella,501
447520,Boloria aquilonaris,501
208111,Coenagrion pulchellum,501
343264,Dolichoderus quadripunctatus,501
319745,Lomographa temerata,501
55601,Neuroterus albipes,501
322808,Hylaea fasciaria,501
119642,Cynips quercusfolii,501
343254,Formica cinerea,501
325897,Eupithecia icterata,501
205154,Endotricha flammealis,501
132718,Scathophaga stercoraria,501
495405,Platyrhinus resinosus,501
461172,Empis tessellata,501
48484,Harmonia axyridis,501
244655,Orthosia cerasi,501
501736,Anthaxia fulgurans,501
333695,Cimbex femoratus,501
56189,Philaenus spumarius,501
506735,Paracorymbia fulva,501
113497,Sympecma fusca,501
135239,Dioctria hyalipennis,501
324912,Acrobasis advenella,501
207704,Melitaea diamina,500
207574,Osmia bicolor,500
416545,Carabus ulrichii,500
207713,Scopula immorata,500
207956,Euphydryas aurinia,500
429923,Vibidia duodecimguttata,500
207977,Aglais io,500
429178,Luperina testacea,500
447102,Rhyparochromus pini,500
447104,Epistrophe eligans,500
447120,Melitta haemorrhoidalis,500
426193,Phengaris alcon,500
428678,Sympetrum depressiusculum,500
210605,Orthosia gothica,500
429128,Atethmia centrago,500
429123,Tholera decimalis,500
210336,Eupeodes luniger,500
209688,Erythromma najas,500
428810,Lapposyrphus lapponicus,500
209683,Erythromma viridulum,500
209661,Oxycarenus lavaterae,500
209343,Monochamus sutor,500
429119,Macaria alternata,500
209660,Chrysolina americana,500
208988,Satyrium spini,500
447126,Helophilus hybridus,500
447123,Bombus soroeensis,500
450927,Cepphis advenaria,500
450926,Idaea rusticata,500
205244,Melanocoryphus albomaculatus,500
205231,Idaea dimidiata,500
205221,Carcina quercana,500
205220,Ourapteryx sambucaria,500
205202,Ecliptopera silaceata,500
205971,Syricoris lacunana,500
205187,Noctua comes,500
205183,Mythimna conigera,500
450677,Scopula ornata,500
450666,Cantharis pellucida,500
450664,Phyllobius pomaceus,500
450658,Acronicta alni,500
448298,Pollenia vagabunda,500
207524,Lomaspilis marginata,500
205151,Phlogophora meticulosa,500
205190,Abrostola tripartita,500
207527,Lyonetia clerkella,500
446693,Prionus coriarius,500
434389,Somatochlora flavomaculata,500
433481,Colletes hederae,500
430532,Eupteryx decemnotata,500
